"state","no"
"AK",3260.85632327766
"CA",2319.53486439769
"FL",1959.10963676531
"TX",1782.62446945802
"NY",1356.95164007404
"CO",1296.39500464385
"VA",791.720569513325
"PA",760.983593951294
"IL",727.829554252499
"NC",711.997408368196
"IA",688.017044931681
"GA",661.533846920784
"MI",660.069260902052
"MT",619.553441353608
"OR",615.059091479569
"LA",612.736708402034
"OH",568.997187083194
"WY",529.775463547752
"TN",527.300142693061
"AL",492.898368014464
"SC",466.80495752488
"MA",409.11949144969
"KY",395.822679436052
"MO",392.711004314604
"WA",387.087856664097
"IN",374.509537984029
"NJ",359.437498735377
"AZ",352.18808110437
"WI",351.304707114215
"HI",343.428540769241
"NV",324.190593015209
"MS",280.948306803411
"MN",266.179894506369
"ID",259.853390642922
"NE",253.349313347966
"ME",240.528768304216
"OK",236.567495223988
"SD",224.133294350247
"WV",222.556732045097
"VI",210.04477051759
"AR",189.325797204888
"PR",181.166546988701
"ND",174.281338512638
"UT",171.63305517994
"MD",167.264275774777
"VT",143.690060787451
"NH",140.881601208174
"NM",132.896399762543
"RI",120.19914985509
"CT",114.381980231139
"KS",100.298824048983
"GU",29.7905327720128
"DE",11.5353535353535
